"slug","legal_name","brand_name","aliases","primary_category","categories","country_code","nigeria_presence","regulators","licence_types","regulatory_status","verification_status","website","source_urls","source_types","source_retrieved_at","logo_slug","added_at","updated_at"
"afriex","AFRIEX INC","AFRIEX","AFRIEX INC","remittance-imto","remittance-imto","US","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"banffpay","BANFFPAY LIMITED","BANFFPAY","BANFFPAY LIMITED","remittance-imto","remittance-imto","CA","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"belyfted","BELYFTED LIMITED","BELYFTED","BELYFTED LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"brails-financial","BRAILS FINANCIAL INC","BRAILS FINANCIAL","BRAILS FINANCIAL INC","remittance-imto","remittance-imto","CA","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"broad-money-transfer","BROAD MONEY TRANSFER LIMITED","BROAD MONEY TRANSFER","BROAD MONEY TRANSFER LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"cashpot","CASHPOT LIMITED","CASHPOT","CASHPOT LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"centrexcard-limited-t-a-transferboss","CENTREXCARD LIMITED T/A (TransferBoss)","CENTREXCARD LIMITED T/A (TransferBoss)","","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"chime-inc-sendwave","CHIME INC (SENDWAVE)","CHIME INC (SENDWAVE)","","remittance-imto","remittance-imto","US","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"cp-express","CP EXPRESS LIMITED","CP EXPRESS","CP EXPRESS LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"csl-pay","CSL PAY LIMITED","CSL PAY","CSL PAY LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"d-way-services","D-WAY SERVICES LIMITED","D-WAY SERVICES","D-WAY SERVICES LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"direkt-wire-uk","DIREKT WIRE UK LIMITED","DIREKT WIRE UK","DIREKT WIRE UK LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"dt-and-t-corporation","DT&T CORPORATION","DT&T CORPORATION","","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"e27-partners-uk","E27 PARTNERS UK LIMITED","E27 PARTNERS UK","E27 PARTNERS UK LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"fa-global-bk-finance","FA GLOBAL BK FINANCE","FA GLOBAL BK FINANCE","","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"funtech-global-communications","FUNTECH GLOBAL COMMUNICATIONS LIMITED","FUNTECH GLOBAL COMMUNICATIONS","FUNTECH GLOBAL COMMUNICATIONS LIMITED","remittance-imto","remittance-imto","GB","foreign-authorized","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
