"slug","legal_name","brand_name","aliases","primary_category","categories","country_code","nigeria_presence","regulators","licence_types","regulatory_status","verification_status","website","source_urls","source_types","source_retrieved_at","logo_slug","added_at","updated_at"
"caelum-technologies","CAELUM TECHNOLOGIES LIMITED","1-HOUR LOAN","1-HOUR LOAN|CAELUM TECHNOLOGIES LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"3gee-pay","3gee Pay Limited","3gee Pay","3gee Pay Limited","payment-terminal-service-provider","payment-terminal-service-provider","NG","nigerian-company","CBN","PTSP","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"3line-card-management","3Line Card Management","3Line Card Management","3Line Card Management Limited","super-agent","card-scheme|payment-terminal-service-provider|super-agent","NG","nigerian-company","CBN","Card/payment scheme|PTSP|Super-agent","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"5554-technologies","5554 Technologies Limited","5554 Technologies","5554 Technologies Limited","super-agent","super-agent","NG","nigerian-company","CBN","Super-agent","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/PSPs.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"9-payment-service-bank","9 Payment Service Bank Limited","9 Payment Service Bank","9 Payment Service Bank Limited","payment-service-bank","payment-service-bank","NG","nigerian-company","CBN","Payment service bank","active","officially-verified","","https://www.cbn.gov.ng/Out/2022/FPRD/List%20of%20Payment%20Service%20Banks%20as%20at%20December%2031,%202021.pdf","regulator","2026-07-13","","2026-07-13","2026-07-13"
"91-payments","91 PAYMENTS LIMITED","91 PAYMENTS","91 PAYMENTS LIMITED","remittance-imto","remittance-imto","NG","nigerian-company","CBN","International money transfer operator","active","officially-verified","","https://www.cbn.gov.ng/PaymentsSystem/InternationalMoneyTransferOperators.html","regulator","2026-07-13","","2026-07-13","2026-07-13"
"s-and-co-tech-partners","S & CO.TECH PARTNERS LTD","99CREDIT","99CREDIT|CASH4U|S & CO.TECH PARTNERS LTD","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"otp-internet-technology","OTP INTERNET TECHNOLOGY","9CREDIT","9CREDIT|NCASH|OTP INTERNET TECHNOLOGY","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"summit-finance","SUMMIT FINANCE LIMITED","9JIACASHPOOL","9JIACASHPOOL|9JKASH|SUMMIT FINANCE LIMITED","digital-lender","digital-lender","NG","nigerian-company","FCCPC","Digital money lender approval","active","officially-verified","","https://fccpc.gov.ng/registration-of-digital-money-lenders/","regulator","2026-07-13","","2026-07-13","2026-07-13"
"a-b-alhassan-and-co-insurance-brokers","A.B Alhassan & Co Insurance Brokers Ltd","A.B Alhassan & Co Insurance Brokers","A.B Alhassan & Co Insurance Brokers Ltd|RBC-60","insurance-broker","insurance-broker","NG","nigerian-company","NAICOM","Insurance broker","active","officially-verified","","https://portal.naicom.gov.ng/Download/AllBrokers.xlsx","regulator","2026-07-13","","2026-07-13","2026-07-13"
