"slug","legal_name","brand_name","primary_category","website","verification_status","reason"
"caelum-technologies","CAELUM TECHNOLOGIES LIMITED","1-HOUR LOAN","digital-lender","","officially-verified","official-website-and-logo-source-required"
"3gee-pay","3gee Pay Limited","3gee Pay","payment-terminal-service-provider","","officially-verified","official-website-and-logo-source-required"
"3line-card-management","3Line Card Management","3Line Card Management","super-agent","","officially-verified","official-website-and-logo-source-required"
"5554-technologies","5554 Technologies Limited","5554 Technologies","super-agent","","officially-verified","official-website-and-logo-source-required"
"91-payments","91 PAYMENTS LIMITED","91 PAYMENTS","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"s-and-co-tech-partners","S & CO.TECH PARTNERS LTD","99CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"otp-internet-technology","OTP INTERNET TECHNOLOGY","9CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"summit-finance","SUMMIT FINANCE LIMITED","9JIACASHPOOL","digital-lender","","officially-verified","official-website-and-logo-source-required"
"a-b-alhassan-and-co-insurance-brokers","A.B Alhassan & Co Insurance Brokers Ltd","A.B Alhassan & Co Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"a1-capital-solution","A1 CAPITAL SOLUTION LIMITED","A1 CREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"abasco-insurance-brokers","ABASCO INSURANCE BROKERS LTD","ABASCO INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"abbey-insurance-brokers","Abbey Insurance Brokers Ltd","Abbey Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"abia-insurance-brokers","Abia Insurance Brokers Ltd","Abia Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"ability-insurance-brokers","ABILITY INSURANCE BROKERS LTD","ABILITY INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"abottmax","ABOTTMAX LIMITED","ABOTTMAX","digital-lender","","officially-verified","official-website-and-logo-source-required"
"absolute-insurance-brokers","ABSOLUTE INSURANCE BROKERS LIMITED","ABSOLUTE INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"accelerex-networks","Accelerex Networks Limited","Accelerex Networks","super-agent","","officially-verified","official-website-and-logo-source-required"
"acceptance-insurance-brokers","Acceptance Insurance Brokers Ltd","Acceptance Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"access-arm-pensions","Access ARM Pensions Limited","Access ARM Pensions","pension-fund-administrator","","officially-verified","official-website-and-logo-source-required"
"access-holdings","Access Holdings Plc","Access Holdings","financial-holding-company","","officially-verified","official-website-and-logo-source-required"
"access-insurance-brokers","ACCESS INSURANCE BROKERS","ACCESS INSURANCE BROKERS","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"accesspower-payments-solutions","AccessPower Payments Solutions Limited","AccessPower Payments Solutions","payment-solution-service-provider","","officially-verified","official-website-and-logo-source-required"
"aceline-insurance-brokers","Aceline Insurance Brokers Ltd","Aceline Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
"acha-global-hub","ACHA GLOBAL HUB LIMITED","ACHA GLOBAL HUB","remittance-imto","","officially-verified","official-website-and-logo-source-required"
"acorn-lending","ACORN LENDING LTD","ACORNCREDIT","digital-lender","","officially-verified","official-website-and-logo-source-required"
"hoil-investment","HOIL INVESTMENT LIMITED","ADASHE","digital-lender","","officially-verified","official-website-and-logo-source-required"
"addosser-insurance-brokers","Addosser Insurance Brokers Ltd","Addosser Insurance Brokers","insurance-broker","","officially-verified","official-website-and-logo-source-required"
